RHEA_ID	DIRECTION	MASTER_ID	ID
17562	LR	17561	R-HSA-372519.2
17619	RL	17617	R-HSA-266050.1
17642	LR	17641	R-HSA-350598.1
17663	RL	17661	R-HSA-70997.2
17682	LR	17681	R-HSA-70885.2
17683	RL	17681	R-HSA-508473.1
17786	LR	17785	R-HSA-888572.1
17786	LR	17785	R-HSA-888577.1
17890	LR	17889	R-HSA-5696415.1
17962	LR	17961	R-HSA-266051.2
17975	RL	17973	R-HSA-74215.3
17986	LR	17985	R-HSA-71260.3
18030	LR	18029	R-HSA-70555.3
18095	RL	18093	R-HSA-73585.2
18134	LR	18133	R-HSA-174392.2
18159	RL	18157	R-HSA-71670.3
18163	RL	18161	R-HSA-77304.2
18170	LR	18169	R-HSA-6784423.1
18246	LR	18245	R-HSA-196773.2
18254	LR	18253	R-HSA-9012036.1
18254	LR	18253	R-HSA-9012349.1
18322	LR	18321	R-HSA-70723.2
18322	LR	18321	R-HSA-70724.2
18323	RL	18321	R-HSA-508179.1
18323	RL	18321	R-HSA-508189.1
18394	LR	18393	R-HSA-909780.1
18447	RL	18445	R-HSA-73797.2
18494	LR	18493	R-HSA-159566.2
18534	LR	18533	R-HSA-209859.1
18563	RL	18561	R-HSA-194674.1
18586	LR	18585	R-HSA-70481.2
18587	RL	18585	R-HSA-70454.2
18594	LR	18593	R-HSA-428681.1
18630	LR	18629	R-HSA-197198.2
18630	LR	18629	R-HSA-8955030.1
18634	LR	18633	R-HSA-73577.2
18738	LR	18737	R-HSA-8959510.1
18782	LR	18781	R-HSA-977317.2
18822	LR	18821	R-HSA-264622.2
18966	LR	18965	R-HSA-189488.1
19071	RL	19069	R-HSA-5694071.1
19130	LR	19129	R-HSA-73632.2
19170	LR	19169	R-HSA-9034539.1
19202	LR	19201	R-HSA-109671.3
19254	LR	19253	R-HSA-1605797.1
19254	LR	19253	R-HSA-193706.1
19298	LR	19297	R-HSA-6786245.1
19302	LR	19301	R-HSA-175993.1
19362	LR	19361	R-HSA-191303.1
19375	RL	19373	R-HSA-70938.2
19454	LR	19453	R-HSA-507775.1
19454	LR	19453	R-HSA-70523.2
19455	RL	19453	R-HSA-507749.1
19455	RL	19453	R-HSA-70524.2
19514	LR	19513	R-HSA-70560.2
19670	LR	19669	R-HSA-8851234.2
19670	LR	19669	R-HSA-8851494.2
19714	LR	19713	R-HSA-548843.1
19742	LR	19741	R-HSA-389580.1
19798	LR	19797	R-HSA-1855174.2
19798	LR	19797	R-HSA-1855222.2
19866	LR	19865	R-HSA-189425.1
19874	LR	19873	R-HSA-1606839.2
19938	LR	19937	R-HSA-6798317.1
19974	LR	19973	R-HSA-351210.1
19986	LR	19985	R-HSA-5692237.1
19990	LR	19989	R-HSA-1237096.1
19991	RL	19989	R-HSA-1299507.1
20014	LR	20013	R-HSA-73573.2
20222	LR	20221	R-HSA-5696839.2
20223	RL	20221	R-HSA-6801456.1
20290	LR	20289	R-HSA-390304.1
20314	LR	20313	R-HSA-1855176.2
20314	LR	20313	R-HSA-1855179.2
20434	LR	20433	R-HSA-5662471.1
20442	LR	20441	R-HSA-1614645.3
20522	LR	20521	R-HSA-5696457.1
20522	LR	20521	R-HSA-73920.2
20523	RL	20521	R-HSA-73912.2
20546	LR	20545	R-HSA-71200.2
20555	RL	20553	R-HSA-71020.2
20570	LR	20569	R-HSA-452036.2
20570	LR	20569	R-HSA-70569.2
20697	LR	20696	R-HSA-1222462.1
20697	LR	20696	R-HSA-1222469.1
